"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"caseD_2","08050516","Instruction Label","switchD_080503e0","Analysis","2","0"
"caseD_3","08050528","Instruction Label","switchD_080503e0","Analysis","2","0"
"caseD_4","0805053c","Instruction Label","switchD_080503e0","Analysis","2","0"
"caseD_6","08050544","Instruction Label","switchD_080503e0","Analysis","2","0"
"caseD_7","08050560","Instruction Label","switchD_080503e0","Analysis","2","0"
"caseD_8","08050584","Instruction Label","switchD_080503e0","Analysis","2","0"
"caseD_9","08050592","Instruction Label","switchD_080503e0","Analysis","0","0"
"caseD_5","08050592","Instruction Label","switchD_080503e0","Analysis","3","0"
"caseD_a","080505b0","Instruction Label","switchD_080503e0","Analysis","2","0"
"caseD_b","080505be","Instruction Label","switchD_080503e0","Analysis","2","0"
"caseD_c","080505e6","Instruction Label","switchD_080503e0","Analysis","7","0"
"FUN_080505f8","080505f8","Function","Global","Default","0","1"
"FUN_080507e0","080507e0","Function","Global","Default","0","1"
"FUN_080508ac","080508ac","Function","Global","Default","0","1"
"switchD","080508c0","Instruction Label","switchD_080508c0","Analysis","0","0"
"switchdataD_080508c8","080508c8","Data Label","switchD_080508c0","Analysis","3","0"
"caseD_0","080508dc","Instruction Label","switchD_080508c0","Analysis","2","0"
"caseD_1","080508ec","Instruction Label","switchD_080508c0","Analysis","2","0"
"caseD_2","08050900","Instruction Label","switchD_080508c0","Analysis","2","0"
"caseD_3","080509a4","Instruction Label","switchD_080508c0","Analysis","2","0"
"caseD_4","080509d8","Instruction Label","switchD_080508c0","Analysis","2","0"
"caseD_5","08050a12","Instruction Label","switchD_080508c0","Analysis","5","0"
"FUN_08050a1c","08050a1c","Function","Global","Default","0","1"
"FUN_08050ae4","08050ae4","Function","Global","Default","0","1"
"FUN_08050b74","08050b74","Function","Global","Default","0","1"
"FUN_08050c68","08050c68","Function","Global","Default","0","1"
"FUN_08050cfc","08050cfc","Function","Global","Default","0","1"
"FUN_08050e44","08050e44","Function","Global","Default","0","1"
"FUN_08050f38","08050f38","Function","Global","Default","0","1"
"FUN_08051018","08051018","Function","Global","Default","0","0"
"switchD","0805102a","Instruction Label","switchD_0805102a","Analysis","0","0"
"switchdataD_08051030","08051030","Data Label","switchD_0805102a","Analysis","3","0"
"caseD_0","08051044","Instruction Label","switchD_0805102a","Analysis","2","0"
"caseD_1","08051090","Instruction Label","switchD_0805102a","Analysis","2","0"
"caseD_2","080510b8","Instruction Label","switchD_0805102a","Analysis","2","0"
"caseD_3","080510c8","Instruction Label","switchD_0805102a","Analysis","2","0"
"caseD_4","080510e0","Instruction Label","switchD_0805102a","Analysis","5","0"
"FUN_080510f0","080510f0","Function","Global","Default","0","0"
"switchD","08051106","Instruction Label","switchD_08051106","Analysis","0","0"
"switchdataD_0805110c","0805110c","Data Label","switchD_08051106","Analysis","3","0"
"caseD_0","08051120","Instruction Label","switchD_08051106","Analysis","2","0"
"caseD_1","080511f4","Instruction Label","switchD_08051106","Analysis","2","0"
"caseD_2","0805125e","Instruction Label","switchD_08051106","Analysis","2","0"
"caseD_3","0805126e","Instruction Label","switchD_08051106","Analysis","2","0"
"caseD_4","08051286","Instruction Label","switchD_08051106","Analysis","5","0"
"FUN_0805129c","0805129c","Function","Global","Default","1","0"
"FUN_080512f8","080512f8","Function","Global","Default","3","0"
"FUN_08051330","08051330","Function","Global","Default","0","1"
"FUN_080515b4","080515b4","Function","Global","Default","1","1"
"FUN_08051608","08051608","Function","Global","Default","1","1"
"FUN_08051624","08051624","Function","Global","Default","0","1"
"FUN_080517ac","080517ac","Function","Global","Default","0","1"
"switchD","080517c0","Instruction Label","switchD_080517c0","Analysis","0","0"
"switchdataD_080517c8","080517c8","Data Label","switchD_080517c0","Analysis","3","0"
"caseD_0","080517f8","Instruction Label","switchD_080517c0","Analysis","2","0"
"caseD_1","0805183e","Instruction Label","switchD_080517c0","Analysis","2","0"
"caseD_2","08051874","Instruction Label","switchD_080517c0","Analysis","2","0"
"caseD_4","0805188c","Instruction Label","switchD_080517c0","Analysis","2","0"
"caseD_5","0805189e","Instruction Label","switchD_080517c0","Analysis","2","0"
"caseD_6","080518c0","Instruction Label","switchD_080517c0","Analysis","2","0"
"caseD_7","080518e6","Instruction Label","switchD_080517c0","Analysis","0","0"
"caseD_3","080518e6","Instruction Label","switchD_080517c0","Analysis","3","0"
"caseD_8","08051908","Instruction Label","switchD_080517c0","Analysis","2","0"
"caseD_9","0805191a","Instruction Label","switchD_080517c0","Analysis","2","0"
"caseD_a","08051960","Instruction Label","switchD_080517c0","Analysis","2","0"
"caseD_b","08051976","Instruction Label","switchD_080517c0","Analysis","2","0"
"caseD_c","080519b6","Instruction Label","switchD_080517c0","Analysis","7","0"
"FUN_080519d0","080519d0","Function","Global","Default","0","1"
"switchD","080519e6","Instruction Label","switchD_080519e6","Analysis","0","0"
