"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"FUN_08055aec","08055aec","Function","Global","Default","0","1"
"FUN_08055c18","08055c18","Function","Global","Default","0","1"
"FUN_08055cdc","08055cdc","Function","Global","Default","0","1"
"FUN_08055df8","08055df8","Function","Global","Default","0","1"
"FUN_08055e6c","08055e6c","Function","Global","Default","0","1"
"FUN_08055ea4","08055ea4","Function","Global","Default","0","1"
"FUN_08055ef8","08055ef8","Function","Global","Default","0","1"
"FUN_08055fac","08055fac","Function","Global","Default","0","1"
"FUN_08055fe4","08055fe4","Function","Global","Default","0","1"
"FUN_08056090","08056090","Function","Global","Default","0","1"
"FUN_080560d8","080560d8","Function","Global","Default","0","1"
"FUN_08056270","08056270","Function","Global","Default","0","1"
"FUN_08056338","08056338","Function","Global","Default","0","1"
"FUN_080563cc","080563cc","Function","Global","Default","0","1"
"FUN_08056434","08056434","Function","Global","Default","0","1"
"FUN_08056508","08056508","Function","Global","Default","0","1"
"FUN_080565c0","080565c0","Function","Global","Default","0","1"
"FUN_08056724","08056724","Function","Global","Default","0","1"
"FUN_08056794","08056794","Function","Global","Default","0","1"
"FUN_08056908","08056908","Function","Global","Default","0","1"
"FUN_080569a4","080569a4","Function","Global","Default","0","1"
"FUN_080569e4","080569e4","Function","Global","Default","0","1"
"FUN_08056a80","08056a80","Function","Global","Default","0","1"
"FUN_08056ac0","08056ac0","Function","Global","Default","0","1"
"FUN_08056bd0","08056bd0","Function","Global","Default","0","1"
"FUN_08056c14","08056c14","Function","Global","Default","0","1"
"FUN_08057094","08057094","Function","Global","Default","1","1"
"FUN_08057204","08057204","Function","Global","Default","0","1"
"switchD","080572c4","Instruction Label","switchD_080572c4","Analysis","0","0"
"switchdataD_080572d8","080572d8","Data Label","switchD_080572c4","Analysis","3","0"
"caseD_0","080572f0","Instruction Label","switchD_080572c4","Analysis","2","0"
"caseD_1","08057324","Instruction Label","switchD_080572c4","Analysis","2","0"
"caseD_2","08057354","Instruction Label","switchD_080572c4","Analysis","2","0"
"caseD_3","08057390","Instruction Label","switchD_080572c4","Analysis","2","0"
"caseD_4","080573e8","Instruction Label","switchD_080572c4","Analysis","2","0"
"caseD_5","08057406","Instruction Label","switchD_080572c4","Analysis","2","0"
